date,weekday,meal_period,dish_name,dish_category,kitchen_section,estimated_guests,actual_guests,event_type,occupancy_rate,weather,prepared_qty,leftover_qty,leftover_ratio,service_time_remaining,refill_count,waste_level,possible_reason,recommended_action
2025-10-31,Friday,Dinner,Fried Noodles,staple,Hot Kitchen,86,87,normal,0.52,sunny,3.4,0.8,0.24,15,3,Medium,Demand slowed near the end,Use smaller refill batch
2025-10-09,Thursday,Breakfast,Fruit Platter,dessert,Cold Dishes,116,107,group_tour,0.72,rainy,5.2,1.1,0.21,60,1,Medium,Demand slowed near the end,Reduce final refill quantity
2025-12-28,Sunday,Breakfast,Steamed Dumplings,pastry,Chinese Pastry,214,183,normal,0.87,cloudy,8.2,0.6,0.07,60,0,Low,Regular consumption,Maintain current quantity
2025-12-17,Wednesday,Dinner,Braised Pork,meat,Hot Kitchen,112,113,banquet,0.74,cloudy,6.2,1.1,0.18,15,1,Medium,Demand slowed near the end,Reduce final refill quantity
2026-01-27,Tuesday,Lunch,Braised Pork,meat,Hot Kitchen,128,131,normal,0.55,cloudy,5.6,2.1,0.38,90,1,High,Low guest demand,Reduce initial quantity
2026-01-08,Thursday,Dinner,Congee Side Toppings,side dish,Cold / Prep,74,62,group_tour,0.79,sunny,2.9,1.2,0.41,15,2,High,Refilled too late in service,Avoid final refill and reduce next initial quantity
2025-12-22,Monday,Dinner,Stir-fried Vegetables,vegetable,Hot Kitchen,127,102,normal,0.68,rainy,3.3,1.2,0.36,60,4,High,Low guest demand,Reduce initial quantity
2026-01-13,Tuesday,Breakfast,Roasted Chicken,meat,Hot Kitchen,119,130,wedding,0.7,sunny,7.6,0.5,0.07,90,3,Low,Regular consumption,Maintain current quantity
2026-01-08,Thursday,Lunch,Chinese Pastry Assortment,pastry,Chinese Pastry,62,63,normal,0.88,rainy,3.4,0.3,0.09,45,2,Low,Regular consumption,Maintain current quantity
2026-01-22,Thursday,Lunch,Cold Cucumber Salad,cold dish,Cold Dishes,127,144,normal,0.89,rainy,5.1,2.1,0.41,45,0,High,Low guest demand,Reduce initial quantity
2025-11-22,Saturday,Lunch,Cold Cucumber Salad,cold dish,Cold Dishes,195,217,group_tour,0.93,rainy,8.1,3.7,0.46,45,0,High,Overproduction,Reduce initial quantity
2025-12-20,Saturday,Breakfast,Stir-fried Vegetables,vegetable,Hot Kitchen,81,84,normal,0.92,rainy,3.3,0.7,0.21,30,4,Medium,Demand slowed near the end,Use smaller refill batch
2026-02-20,Friday,Lunch,Cold Cucumber Salad,cold dish,Cold Dishes,114,127,normal,0.66,rainy,4.9,2.4,0.49,60,2,High,Low guest demand,Reduce initial quantity
2026-01-23,Friday,Lunch,Fruit Platter,dessert,Cold Dishes,65,64,normal,0.48,sunny,2.2,0.8,0.36,15,0,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-10-21,Tuesday,Breakfast,Fruit Platter,dessert,Cold Dishes,93,96,normal,0.56,cloudy,3.0,1.3,0.43,60,1,High,Low guest demand,Reduce initial quantity
2026-01-21,Wednesday,Lunch,Roasted Chicken,meat,Hot Kitchen,85,65,normal,0.48,rainy,3.5,0.8,0.23,30,0,Medium,Demand slowed near the end,Reduce final refill quantity
2025-11-07,Friday,Breakfast,Steamed Fish,seafood,Hot Kitchen,79,73,normal,0.89,sunny,3.4,1.2,0.35,90,0,Medium,Overproduction,Reduce final refill quantity
2025-10-26,Sunday,Breakfast,Stir-fried Vegetables,vegetable,Hot Kitchen,162,179,normal,0.56,cloudy,5.4,2.7,0.5,45,3,High,Low guest demand,Reduce initial quantity
2025-12-15,Monday,Dinner,Steamed Fish,seafood,Hot Kitchen,233,192,wedding,0.78,rainy,10.5,3.9,0.37,15,4,High,Over-refilled during service,Avoid final refill and reduce next initial quantity
2026-03-01,Sunday,Dinner,Fried Rice,staple,Hot Kitchen,230,250,banquet,0.53,rainy,15.0,1.4,0.09,60,1,Low,Regular consumption,Maintain current quantity
2026-02-25,Wednesday,Dinner,Stir-fried Vegetables,vegetable,Hot Kitchen,209,204,normal,0.49,rainy,6.8,2.2,0.32,30,2,Medium,Refilled too late in service,Use smaller refill batch
2026-01-28,Wednesday,Breakfast,Roasted Chicken,meat,Hot Kitchen,85,66,normal,0.95,rainy,3.9,1.8,0.46,15,2,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-11-12,Wednesday,Dinner,Fried Rice,staple,Hot Kitchen,195,146,group_tour,0.94,rainy,6.4,0.9,0.14,30,0,Low,Regular consumption,Maintain current quantity
2025-10-30,Thursday,Dinner,Mixed Seafood,seafood,Hot Kitchen,147,122,normal,0.75,cloudy,5.7,2.1,0.37,45,3,High,Low guest demand,Reduce initial quantity
2025-10-16,Thursday,Dinner,Steamed Dumplings,pastry,Chinese Pastry,145,153,normal,0.47,cloudy,4.4,1.8,0.41,90,3,High,Low guest demand,Reduce initial quantity
2025-10-31,Friday,Dinner,Steamed Dumplings,pastry,Chinese Pastry,254,205,banquet,0.47,rainy,7.9,1.0,0.13,45,0,Low,Regular consumption,Maintain current quantity
2025-12-05,Friday,Breakfast,Braised Pork,meat,Hot Kitchen,164,186,normal,0.89,rainy,10.1,4.0,0.4,30,1,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-11-17,Monday,Breakfast,Steamed Fish,seafood,Hot Kitchen,165,176,normal,0.84,cloudy,8.8,3.4,0.39,30,2,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-10-12,Sunday,Breakfast,Fried Rice,staple,Hot Kitchen,118,99,normal,0.62,cloudy,4.8,2.3,0.48,15,2,High,Low guest demand,Avoid final refill and reduce next initial quantity
2026-02-10,Tuesday,Dinner,Steamed Fish,seafood,Hot Kitchen,111,122,wedding,0.62,rainy,7.7,1.5,0.19,15,2,Medium,Demand slowed near the end,Use smaller refill batch
2025-12-22,Monday,Dinner,Steamed Fish,seafood,Hot Kitchen,261,222,wedding,0.64,sunny,9.2,2.2,0.24,30,4,Medium,Demand slowed near the end,Use smaller refill batch
2025-12-26,Friday,Lunch,Chinese Pastry Assortment,pastry,Chinese Pastry,136,129,group_tour,0.81,sunny,3.8,0.4,0.11,90,2,Low,Regular consumption,Maintain current quantity
2026-01-18,Sunday,Lunch,Braised Pork,meat,Hot Kitchen,137,125,group_tour,0.76,sunny,5.5,1.8,0.33,60,1,Medium,Overproduction,Reduce final refill quantity
2026-03-07,Saturday,Lunch,Braised Pork,meat,Hot Kitchen,190,178,normal,0.79,cloudy,8.8,1.3,0.15,15,1,Low,Regular consumption,Maintain current quantity
2026-03-10,Tuesday,Breakfast,Roasted Chicken,meat,Hot Kitchen,117,125,group_tour,0.79,sunny,7.1,2.5,0.35,90,3,Medium,Overproduction,Use smaller refill batch
2025-10-21,Tuesday,Lunch,Fried Rice,staple,Hot Kitchen,251,228,banquet,0.55,rainy,15.9,2.0,0.13,60,0,Low,Regular consumption,Maintain current quantity
2026-02-12,Thursday,Breakfast,Fried Rice,staple,Hot Kitchen,178,181,normal,0.68,sunny,8.1,2.7,0.33,90,3,Medium,Overproduction,Use smaller refill batch
2026-02-09,Monday,Dinner,Steamed Fish,seafood,Hot Kitchen,181,168,normal,0.82,sunny,8.9,2.0,0.22,90,2,Medium,Demand slowed near the end,Use smaller refill batch
2025-12-03,Wednesday,Lunch,Congee Side Toppings,side dish,Cold / Prep,145,127,normal,0.57,cloudy,4.0,1.8,0.45,60,1,High,Low guest demand,Reduce initial quantity
2026-01-15,Thursday,Dinner,Roasted Chicken,meat,Hot Kitchen,167,151,normal,0.55,sunny,8.2,1.9,0.23,90,0,Medium,Demand slowed near the end,Reduce final refill quantity
2026-01-01,Thursday,Lunch,Congee Side Toppings,side dish,Cold / Prep,257,242,banquet,0.72,cloudy,10.7,4.1,0.38,45,3,High,Over-refilled during service,Reduce initial quantity
2025-11-14,Friday,Breakfast,Fried Rice,staple,Hot Kitchen,193,151,wedding,0.46,rainy,9.4,1.3,0.14,15,1,Low,Regular consumption,Maintain current quantity
2025-12-25,Thursday,Lunch,Stir-fried Vegetables,vegetable,Hot Kitchen,167,142,normal,0.59,cloudy,4.6,2.8,0.61,15,4,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-10-13,Monday,Breakfast,Fried Noodles,staple,Hot Kitchen,121,96,normal,0.76,sunny,4.9,1.4,0.29,60,1,Medium,Overproduction,Reduce final refill quantity
2026-01-05,Monday,Dinner,Cold Cucumber Salad,cold dish,Cold Dishes,101,114,normal,0.81,rainy,4.2,1.7,0.4,90,2,High,Low guest demand,Reduce initial quantity
2026-01-12,Monday,Breakfast,Mixed Seafood,seafood,Hot Kitchen,122,96,normal,0.87,rainy,5.1,2.3,0.45,15,4,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-10-13,Monday,Dinner,Roasted Chicken,meat,Hot Kitchen,147,110,normal,0.48,cloudy,6.2,2.5,0.4,45,3,High,Low guest demand,Reduce initial quantity
2025-11-11,Tuesday,Breakfast,Steamed Fish,seafood,Hot Kitchen,197,208,group_tour,0.59,rainy,12.6,2.1,0.17,45,4,Medium,Demand slowed near the end,Use smaller refill batch
2025-12-04,Thursday,Lunch,Steamed Dumplings,pastry,Chinese Pastry,283,250,banquet,0.83,sunny,8.0,2.1,0.26,30,3,Medium,Refilled too late in service,Use smaller refill batch
2025-12-13,Saturday,Dinner,Chinese Pastry Assortment,pastry,Chinese Pastry,148,125,banquet,0.46,rainy,4.8,1.3,0.27,60,1,Medium,Overproduction,Reduce final refill quantity
2026-02-05,Thursday,Breakfast,Fried Rice,staple,Hot Kitchen,122,106,normal,0.65,sunny,5.5,1.1,0.2,45,4,Medium,Demand slowed near the end,Use smaller refill batch
2026-02-20,Friday,Lunch,Roasted Chicken,meat,Hot Kitchen,119,94,group_tour,0.6,cloudy,5.3,1.4,0.26,30,4,Medium,Refilled too late in service,Use smaller refill batch
2025-12-12,Friday,Dinner,Mixed Seafood,seafood,Hot Kitchen,139,120,wedding,0.75,rainy,6.6,2.1,0.32,30,4,Medium,Refilled too late in service,Use smaller refill batch
2026-02-21,Saturday,Dinner,Congee Side Toppings,side dish,Cold / Prep,228,250,banquet,0.88,rainy,9.4,1.3,0.14,45,3,Low,Regular consumption,Maintain current quantity
2026-02-02,Monday,Breakfast,Steamed Dumplings,pastry,Chinese Pastry,73,59,normal,0.74,sunny,2.3,0.2,0.09,30,0,Low,Regular consumption,Maintain current quantity
2026-01-17,Saturday,Dinner,Chinese Pastry Assortment,pastry,Chinese Pastry,157,146,group_tour,0.84,sunny,6.5,1.6,0.25,45,3,Medium,Demand slowed near the end,Use smaller refill batch
2025-10-18,Saturday,Dinner,Chinese Pastry Assortment,pastry,Chinese Pastry,127,128,normal,0.76,sunny,4.4,0.2,0.05,30,0,Low,Regular consumption,Maintain current quantity
2026-01-26,Monday,Dinner,Mixed Seafood,seafood,Hot Kitchen,132,136,normal,0.57,sunny,8.0,3.4,0.42,90,2,High,Low guest demand,Reduce initial quantity
2026-01-19,Monday,Dinner,Steamed Dumplings,pastry,Chinese Pastry,96,74,normal,0.9,sunny,2.8,0.6,0.21,45,4,Medium,Demand slowed near the end,Use smaller refill batch
2026-01-30,Friday,Lunch,Mixed Seafood,seafood,Hot Kitchen,186,172,group_tour,0.7,cloudy,9.9,1.4,0.14,90,2,Low,Regular consumption,Maintain current quantity
2025-10-26,Sunday,Dinner,Stir-fried Vegetables,vegetable,Hot Kitchen,65,74,group_tour,0.74,rainy,2.1,0.5,0.24,30,0,Medium,Demand slowed near the end,Reduce final refill quantity
2026-01-24,Saturday,Breakfast,Congee Side Toppings,side dish,Cold / Prep,226,211,wedding,0.77,cloudy,7.9,2.0,0.25,30,0,Medium,Demand slowed near the end,Reduce final refill quantity
2025-12-15,Monday,Lunch,Braised Pork,meat,Hot Kitchen,82,71,group_tour,0.47,rainy,4.8,1.6,0.33,90,3,Medium,Overproduction,Use smaller refill batch
2025-10-03,Friday,Dinner,Braised Pork,meat,Hot Kitchen,152,151,normal,0.54,sunny,8.0,1.7,0.21,30,0,Medium,Demand slowed near the end,Reduce final refill quantity
2025-12-15,Monday,Dinner,Fried Rice,staple,Hot Kitchen,215,229,normal,0.94,sunny,10.6,2.0,0.19,90,0,Medium,Demand slowed near the end,Reduce final refill quantity
2025-11-29,Saturday,Lunch,Steamed Dumplings,pastry,Chinese Pastry,254,242,banquet,0.87,rainy,11.6,3.2,0.28,30,3,Medium,Refilled too late in service,Use smaller refill batch
2025-11-20,Thursday,Dinner,Chinese Pastry Assortment,pastry,Chinese Pastry,130,137,group_tour,0.88,sunny,3.7,1.2,0.32,45,4,Medium,Overproduction,Use smaller refill batch
2025-12-14,Sunday,Lunch,Mixed Seafood,seafood,Hot Kitchen,185,202,group_tour,0.95,rainy,11.2,3.6,0.32,90,2,Medium,Overproduction,Use smaller refill batch
2026-01-07,Wednesday,Lunch,Fried Rice,staple,Hot Kitchen,217,237,banquet,0.57,rainy,12.7,2.4,0.19,60,3,Medium,Demand slowed near the end,Use smaller refill batch
2025-11-10,Monday,Breakfast,Fried Rice,staple,Hot Kitchen,85,93,normal,0.62,rainy,5.2,2.1,0.4,15,3,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-11-11,Tuesday,Lunch,Steamed Dumplings,pastry,Chinese Pastry,161,162,group_tour,0.62,cloudy,5.9,2.3,0.39,60,4,High,Over-refilled during service,Reduce initial quantity
2026-03-12,Thursday,Lunch,Mixed Seafood,seafood,Hot Kitchen,186,213,banquet,0.76,sunny,10.1,2.1,0.21,15,0,Medium,Demand slowed near the end,Reduce final refill quantity
2025-12-18,Thursday,Breakfast,Fried Noodles,staple,Hot Kitchen,155,142,normal,0.6,sunny,8.6,1.0,0.12,30,1,Low,Regular consumption,Maintain current quantity
2026-03-08,Sunday,Dinner,Steamed Fish,seafood,Hot Kitchen,96,80,group_tour,0.91,cloudy,4.0,1.5,0.38,60,0,High,Overproduction,Reduce initial quantity
2026-02-19,Thursday,Breakfast,Cold Cucumber Salad,cold dish,Cold Dishes,136,136,normal,0.94,cloudy,4.9,2.9,0.59,30,2,High,Low guest demand,Avoid final refill and reduce next initial quantity
2026-01-08,Thursday,Lunch,Chinese Pastry Assortment,pastry,Chinese Pastry,161,138,normal,0.6,rainy,5.2,1.6,0.31,90,0,Medium,Overproduction,Reduce final refill quantity
2025-12-15,Monday,Dinner,Stir-fried Vegetables,vegetable,Hot Kitchen,218,185,group_tour,0.77,sunny,6.7,2.5,0.37,15,1,High,Refilled too late in service,Avoid final refill and reduce next initial quantity
2025-10-13,Monday,Lunch,Congee Side Toppings,side dish,Cold / Prep,83,92,normal,0.82,cloudy,3.8,1.6,0.42,30,1,High,Low guest demand,Avoid final refill and reduce next initial quantity
2026-01-04,Sunday,Dinner,Fruit Platter,dessert,Cold Dishes,250,262,banquet,0.58,sunny,7.8,2.8,0.36,30,0,High,Refilled too late in service,Avoid final refill and reduce next initial quantity
2026-01-12,Monday,Lunch,Fruit Platter,dessert,Cold Dishes,197,157,normal,0.46,cloudy,6.8,2.4,0.35,90,2,Medium,Overproduction,Use smaller refill batch
2025-12-01,Monday,Breakfast,Fried Rice,staple,Hot Kitchen,216,181,normal,0.61,rainy,13.8,1.3,0.09,60,2,Low,Regular consumption,Maintain current quantity
2025-10-14,Tuesday,Lunch,Fried Noodles,staple,Hot Kitchen,244,220,wedding,0.5,sunny,14.5,3.7,0.26,60,4,Medium,Overproduction,Use smaller refill batch
2025-11-11,Tuesday,Dinner,Steamed Fish,seafood,Hot Kitchen,131,99,normal,0.76,cloudy,5.6,0.5,0.09,45,1,Low,Regular consumption,Maintain current quantity
2026-01-05,Monday,Dinner,Fruit Platter,dessert,Cold Dishes,91,102,normal,0.59,cloudy,2.4,1.2,0.5,90,1,High,Low guest demand,Reduce initial quantity
2025-11-04,Tuesday,Breakfast,Chinese Pastry Assortment,pastry,Chinese Pastry,115,123,normal,0.55,rainy,5.8,2.7,0.47,15,4,High,Low guest demand,Avoid final refill and reduce next initial quantity
2026-02-18,Wednesday,Breakfast,Congee Side Toppings,side dish,Cold / Prep,151,160,normal,0.52,sunny,6.6,1.7,0.26,45,1,Medium,Overproduction,Reduce final refill quantity
2025-10-19,Sunday,Lunch,Fried Rice,staple,Hot Kitchen,175,166,group_tour,0.75,rainy,6.3,1.3,0.21,45,4,Medium,Demand slowed near the end,Use smaller refill batch
2025-10-10,Friday,Lunch,Fried Noodles,staple,Hot Kitchen,185,191,group_tour,0.79,cloudy,12.0,1.2,0.1,90,2,Low,Regular consumption,Maintain current quantity
2025-11-04,Tuesday,Dinner,Congee Side Toppings,side dish,Cold / Prep,157,180,normal,0.81,rainy,6.8,1.2,0.18,60,4,Medium,Demand slowed near the end,Use smaller refill batch
2026-02-21,Saturday,Breakfast,Mixed Seafood,seafood,Hot Kitchen,176,160,normal,0.66,sunny,7.3,1.3,0.18,45,2,Medium,Demand slowed near the end,Use smaller refill batch
2025-11-11,Tuesday,Lunch,Braised Pork,meat,Hot Kitchen,84,88,normal,0.5,sunny,4.5,2.2,0.49,90,0,High,Low guest demand,Reduce initial quantity
2025-11-03,Monday,Lunch,Steamed Fish,seafood,Hot Kitchen,139,137,banquet,0.88,cloudy,8.2,2.3,0.28,30,1,Medium,Refilled too late in service,Reduce final refill quantity
2025-11-29,Saturday,Lunch,Steamed Dumplings,pastry,Chinese Pastry,131,128,group_tour,0.51,cloudy,4.7,1.3,0.28,90,4,Medium,Overproduction,Use smaller refill batch
2026-02-22,Sunday,Dinner,Fried Noodles,staple,Hot Kitchen,170,175,banquet,0.58,rainy,10.0,3.5,0.35,30,0,Medium,Refilled too late in service,Reduce final refill quantity
2026-02-24,Tuesday,Lunch,Braised Pork,meat,Hot Kitchen,67,52,normal,0.77,rainy,2.7,0.3,0.11,45,3,Low,Regular consumption,Maintain current quantity
2025-12-21,Sunday,Lunch,Mixed Seafood,seafood,Hot Kitchen,73,59,group_tour,0.75,rainy,2.4,0.5,0.21,45,0,Medium,Demand slowed near the end,Reduce final refill quantity
2026-01-19,Monday,Dinner,Fried Rice,staple,Hot Kitchen,191,151,normal,0.56,cloudy,7.9,2.5,0.32,60,4,Medium,Overproduction,Use smaller refill batch
2025-11-28,Friday,Dinner,Steamed Fish,seafood,Hot Kitchen,114,120,normal,0.6,sunny,5.4,1.2,0.22,15,0,Medium,Demand slowed near the end,Reduce final refill quantity
2026-01-21,Wednesday,Breakfast,Cold Cucumber Salad,cold dish,Cold Dishes,203,219,normal,0.57,rainy,5.8,1.8,0.31,60,0,Medium,Overproduction,Reduce final refill quantity
2026-02-27,Friday,Dinner,Steamed Fish,seafood,Hot Kitchen,89,81,normal,0.66,rainy,3.2,1.1,0.34,60,4,Medium,Overproduction,Use smaller refill batch
2026-01-03,Saturday,Lunch,Steamed Dumplings,pastry,Chinese Pastry,162,155,group_tour,0.67,sunny,5.1,1.2,0.24,30,2,Medium,Demand slowed near the end,Use smaller refill batch
2026-02-10,Tuesday,Breakfast,Braised Pork,meat,Hot Kitchen,149,132,normal,0.9,sunny,6.1,0.5,0.08,30,1,Low,Regular consumption,Maintain current quantity
2025-12-07,Sunday,Breakfast,Stir-fried Vegetables,vegetable,Hot Kitchen,220,208,normal,0.49,rainy,7.5,3.2,0.43,90,3,High,Low guest demand,Reduce initial quantity
2025-12-24,Wednesday,Lunch,Braised Pork,meat,Hot Kitchen,137,146,normal,0.68,sunny,7.2,1.5,0.21,45,0,Medium,Demand slowed near the end,Reduce final refill quantity
2025-10-12,Sunday,Lunch,Fried Noodles,staple,Hot Kitchen,83,82,group_tour,0.77,sunny,4.4,1.6,0.36,15,4,High,Over-refilled during service,Avoid final refill and reduce next initial quantity
2025-11-20,Thursday,Dinner,Roasted Chicken,meat,Hot Kitchen,175,138,normal,0.93,sunny,5.9,1.6,0.27,90,0,Medium,Overproduction,Reduce final refill quantity
2025-10-13,Monday,Dinner,Stir-fried Vegetables,vegetable,Hot Kitchen,216,175,normal,0.71,cloudy,5.8,1.7,0.29,45,3,Medium,Overproduction,Use smaller refill batch
2025-10-16,Thursday,Dinner,Braised Pork,meat,Hot Kitchen,158,136,normal,0.5,cloudy,6.9,2.5,0.36,30,4,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-12-31,Wednesday,Dinner,Congee Side Toppings,side dish,Cold / Prep,81,70,group_tour,0.51,cloudy,3.4,0.6,0.18,90,1,Medium,Demand slowed near the end,Reduce final refill quantity
2026-02-10,Tuesday,Breakfast,Roasted Chicken,meat,Hot Kitchen,147,165,normal,0.93,sunny,8.2,0.6,0.07,30,1,Low,Regular consumption,Maintain current quantity
2025-10-28,Tuesday,Dinner,Fruit Platter,dessert,Cold Dishes,146,160,group_tour,0.47,rainy,5.7,1.2,0.21,30,1,Medium,Demand slowed near the end,Reduce final refill quantity
2026-03-11,Wednesday,Dinner,Cold Cucumber Salad,cold dish,Cold Dishes,120,136,normal,0.63,cloudy,5.8,2.5,0.43,30,3,High,Low guest demand,Avoid final refill and reduce next initial quantity
2026-01-31,Saturday,Lunch,Stir-fried Vegetables,vegetable,Hot Kitchen,178,188,group_tour,0.94,rainy,5.9,2.9,0.49,30,3,High,Over-refilled during service,Avoid final refill and reduce next initial quantity
2025-11-07,Friday,Breakfast,Congee Side Toppings,side dish,Cold / Prep,86,88,normal,0.73,cloudy,2.8,0.7,0.25,30,0,Medium,Demand slowed near the end,Reduce final refill quantity
2025-11-09,Sunday,Breakfast,Steamed Fish,seafood,Hot Kitchen,182,166,banquet,0.86,sunny,9.1,2.1,0.23,15,3,Medium,Demand slowed near the end,Use smaller refill batch
2025-10-28,Tuesday,Dinner,Mixed Seafood,seafood,Hot Kitchen,133,148,normal,0.52,sunny,9.0,3.7,0.41,60,3,High,Low guest demand,Reduce initial quantity
2025-10-07,Tuesday,Breakfast,Congee Side Toppings,side dish,Cold / Prep,215,206,group_tour,0.92,rainy,9.0,2.4,0.27,15,2,Medium,Refilled too late in service,Use smaller refill batch
2026-01-28,Wednesday,Breakfast,Steamed Dumplings,pastry,Chinese Pastry,64,64,group_tour,0.75,cloudy,2.5,0.1,0.04,60,2,Low,Regular consumption,Maintain current quantity
2026-01-01,Thursday,Dinner,Stir-fried Vegetables,vegetable,Hot Kitchen,194,221,normal,0.78,rainy,10.1,2.5,0.25,90,4,Medium,Demand slowed near the end,Use smaller refill batch
2026-01-10,Saturday,Breakfast,Fried Rice,staple,Hot Kitchen,64,57,normal,0.58,cloudy,3.6,1.4,0.39,90,0,High,Low guest demand,Reduce initial quantity
2025-10-14,Tuesday,Dinner,Roasted Chicken,meat,Hot Kitchen,178,203,normal,0.54,rainy,10.0,4.4,0.44,15,1,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-10-12,Sunday,Breakfast,Congee Side Toppings,side dish,Cold / Prep,140,157,normal,0.89,sunny,7.8,1.8,0.23,60,4,Medium,Demand slowed near the end,Use smaller refill batch
2025-11-20,Thursday,Lunch,Congee Side Toppings,side dish,Cold / Prep,208,166,banquet,0.88,sunny,8.5,1.8,0.21,60,3,Medium,Demand slowed near the end,Use smaller refill batch
2026-02-07,Saturday,Dinner,Roasted Chicken,meat,Hot Kitchen,80,73,normal,0.81,sunny,2.9,0.2,0.07,45,2,Low,Regular consumption,Maintain current quantity
